datetime,code,name,volume,avg_cost,close,market_value,pnl,profit
2025-09-25,SZSE.002925,盈趣科技,25500,20.210099999999997,19.92,507960.00000000006,-7397.549999999872,-0.014354209034096567
2025-09-25,SZSE.002549,凯美特气,20500,25.162574999999997,27.55,564775.0,48942.21250000008,0.09487999538997914
2025-09-25,SZSE.001309,德明利,2900,174.28709999999998,177.27,514083.00000000006,8650.41000000009,0.017114863922803418
2025-09-26,SZSE.002549,凯美特气,20500,25.162574999999997,24.8,508400.0,-7432.7874999999185,-0.014409296345862698
2025-09-26,SHSE.600996,贵广网络,53700,9.714855,9.29,498872.99999999994,-22814.71350000007,-0.04373251067566127
2025-09-26,SHSE.603686,福龙马,22000,23.701845,21.95,482900.0,-38540.58999999997,-0.07391175665860605
2025-09-26,SZSE.002402,和而泰,10200,51.12555,48.18,491436.0,-30044.609999999986,-0.057614050117798216
2025-09-29,SHSE.605358,立昂微,24100,31.095539999999993,33.15,798915.0,49512.48600000015,0.06606928196133614
2025-09-29,SZSE.001330,博纳影业,120800,6.213105,6.47,781576.0,31032.916000000085,0.04134728127079789
2025-09-30,SHSE.603156,养元饮品,52400,29.264625,29.47,1544228.0,10761.65000000014,0.007017858592071578
2025-10-10,SZSE.001309,德明利,1900,200.17003499999998,198.0,376200.0,-4123.066499999957,-0.010840958288287144
2025-10-10,SZSE.000559,万向钱潮,31500,12.50625,11.74,369810.0,-24136.875,-0.061269365317341326
2025-10-10,SZSE.002298,中电鑫龙,30200,13.056525,14.01,423102.0,28794.945000000007,0.07302670503828547
2025-10-10,SHSE.603156,养元饮品,13000,30.165074999999998,34.42,447460.0,55314.02500000002,0.1410546799568707
2025-10-13,SHSE.603077,和邦生物,123500,2.16108,2.24,276640.0,9746.619999999995,0.03651877764821291
2025-10-13,SHSE.600629,华建集团,9200,28.714349999999996,29.33,269836.0,5663.98000000004,0.021440499262563993
2025-10-13,SHSE.600641,万业企业,13000,20.51025,23.25,302250.0,35616.75,0.13357955168757085
2025-10-13,SZSE.002310,东方园林,100700,2.651325,2.7,271890.0,4901.572500000009,0.01835874515572406
2025-10-13,SHSE.603026,石大胜华,5600,47.0235,54.04,302624.0,39292.40000000002,0.14921262772868896
2025-10-13,SZSE.000923,河钢资源,14700,18.04902,18.57,272979.0,7658.406000000017,0.02886472506540528
2025-10-15,SHSE.600105,永鼎股份,36800,14.687339999999999,14.84,546112.0,5617.888000000035,0.010393985568523707
2025-10-15,SHSE.603516,淳中科技,3200,165.58275,157.85,505120.0,-24744.800000000047,-0.04670021484725923
2025-10-15,SZSE.002941,新疆交建,27900,19.409699999999997,20.59,574461.0,32930.37000000011,0.06080980128492477
2025-10-16,SHSE.603011,合锻智能,12600,25.8129,24.45,308070.0,-17172.53999999998,-0.05279918180444655
2025-10-16,SHSE.601606,长城军工,6400,50.325149999999994,53.1,339840.0,17759.040000000037,0.05513843475876388
2025-10-16,SHSE.601069,西部黄金,9900,32.946464999999996,32.09,317691.00000000006,-8479.003499999933,-0.025995656893690818
2025-10-16,SHSE.600078,澄星股份,38000,8.574285,9.33,354540.0,28717.169999999984,0.08813737821870857
2025-10-16,SHSE.603690,至纯科技,9100,35.527755,34.57,314587.0,-8715.570499999973,-0.026957937533626797
2025-10-17,SHSE.600078,澄星股份,38000,8.574285,10.26,389880.0,64057.169999999984,0.1966012326392229
2025-10-20,SHSE.600748,上实发展,270100,6.013005,6.67,1801567.0,177454.3495,0.10926234054353856
2025-10-21,SHSE.600748,上实发展,357800,6.1184545681945215,7.34,2626252.0,437068.95550000016,0.19964934252440497
2025-10-21,SZSE.002320,海峡股份,40900,13.806900000000002,14.7,601230.0,36527.78999999992,0.0646850487799577
2025-10-21,SZSE.002370,亚太药业,79100,7.1435699999999995,7.0,553700.0,-11356.386999999988,-0.020097794240134813
2025-10-22,SZSE.002370,亚太药业,79100,7.1435699999999995,7.7,609070.0,44013.61300000001,0.07789242633585171
2025-10-23,SZSE.001267,汇绿生态,34700,18.099045,17.83,618700.9999999999,-9335.861500000115,-0.014865148962279685
2025-10-23,SZSE.002083,孚日股份,106800,5.88294,6.15,656820.0,28522.00800000003,0.04539566951218273
2025-10-23,SZSE.002208,合肥城建,42000,14.96748,14.32,601440.0,-27194.160000000033,-0.043259119103549876
2025-10-24,SZSE.001267,汇绿生态,34700,18.099045,19.61,680467.0,52430.1385,0.08348258153952322
2025-10-24,SHSE.600172,黄河旋风,248100,7.533765,6.96,1726776.0,-142351.09649999999,-0.07615913158958369
2025-10-27,SHSE.600172,黄河旋风,134200,6.72336,7.01,940742.0,38467.088000000105,0.042633445182170944
2025-10-27,SZSE.002542,中化岩土,228400,3.951975,3.96,904464.0,1832.9100000000326,0.002030630254493043
2025-10-28,SHSE.603232,格尔软件,46800,19.519755,22.21,1039428.0,125903.46600000001,0.13782165810995067
2025-10-28,SHSE.601015,陕西黑猫,220100,4.152075,4.52,994851.9999999999,80980.29249999986,0.08861232034585102
2025-10-30,SHSE.603232,格尔软件,42300,22.751369999999998,25.69,1086687.0,124304.04900000012,0.1291627712968495
2025-10-30,SZSE.002512,达华智能,194800,4.94247,5.1,993479.9999999999,30686.843999999808,0.03187272760380923
2025-10-31,SZSE.002213,大为股份,76300,26.033009999999997,28.02,2137926.0,151607.3370000003,0.07632578791311509
2025-11-03,SZSE.000555,神州信息,54400,18.4092,20.85,1134240.0,132779.52000000014,0.13258588097255736
2025-11-03,SZSE.002196,方正电机,91100,10.995495,11.64,1060404.0,58714.40549999999,0.058615369294424666
2025-11-05,SZSE.002611,东方精工,16800,20.550269999999998,21.84,366912.0,21667.464000000036,0.06275975936082603
2025-11-05,SZSE.002370,亚太药业,39700,8.734365,8.75,347375.0,620.7094999999972,0.0017900557167006336
2025-11-05,SZSE.002759,天际股份,11500,30.035009999999993,33.33,383295.0,37892.38500000007,0.10970497429499795
2025-11-05,SZSE.001203,大中矿业,18700,18.509249999999998,19.49,364462.99999999994,18340.024999999965,0.05298702000351166
2025-11-05,SHSE.603516,淳中科技,1900,180.09,206.3,391970.0,49799.0,0.14553834194014104
2025-11-05,SZSE.000892,欢瑞世纪,43000,8.06403,8.15,350450.0,3696.7099999999627,0.010660922640416655
2025-11-06,SZSE.001203,大中矿业,18700,18.509249999999998,21.44,400928.0,54805.02500000002,0.1583397490443968
2025-11-06,SHSE.603516,淳中科技,1900,180.09,226.93,431167.0,88996.0,0.26009217613415514
2025-11-06,SZSE.002181,粤 传 媒,55500,12.816404999999998,11.84,657120.0,-54190.47749999992,-0.0761840001154769
2025-11-06,SZSE.000555,神州信息,34500,20.6103,21.3,734850.0,23794.650000000023,0.03346385059897239
2025-11-06,SZSE.002418,康盛股份,130400,5.452725,5.6,730240.0,19204.660000000033,0.02700943106428442
2025-11-07,SZSE.001203,大中矿业,18700,18.509249999999998,23.34,436458.0,90335.02500000002,0.2609911260585924
2025-11-07,SHSE.603169,兰石重装,52300,10.215105,11.72,612956.0,78706.0085,0.14732056107108052
2025-11-07,SHSE.601929,吉视传媒,124100,4.302149999999999,4.23,524943.0,-8953.814999999944,-0.016770684425229145
2025-11-07,SHSE.603686,福龙马,17800,29.914949999999997,31.9,567820.0,35333.890000000014,0.06635645388008339
2025-11-07,SZSE.002636,金安国纪,32400,16.48824,16.36,530064.0,-4154.976000000024,-0.00777766456577541
2025-11-10,SZSE.002636,金安国纪,32400,16.48824,18.0,583200.0,48981.023999999976,0.09168716612567497
2025-11-10,SHSE.603516,淳中科技,2300,230.115,214.18,492614.0,-36650.5,-0.06924798470330053
2025-11-10,SHSE.600815,厦工股份,154500,3.511755,4.02,621089.9999999999,78523.85249999992,0.14472678190819108
2025-11-10,SHSE.600759,洲际油气,203100,2.6713349999999996,2.7,548370.0,5821.8615000001155,0.010730589761299342
2025-11-10,SZSE.000592,平潭发展,63800,8.504249999999999,8.56,546128.0,3556.850000000093,0.006555545756533671
2025-11-11,SZSE.000572,海马汽车,76300,9.704849999999999,9.95,759185.0,18704.945000000065,0.025260565593492004
2025-11-11,SZSE.002639,雪人集团,50700,14.58729,14.1,714870.0,-24705.603000000003,-0.03340510814551572
2025-11-11,SHSE.603978,深圳新星,21700,34.016999999999996,36.88,800296.0,62127.10000000009,0.08416380045271496
2025-11-12,SHSE.603978,深圳新星,10500,34.3563,35.1,368550.0,7808.850000000035,0.021646684887487982
2025-11-12,SZSE.002255,海陆重工,28000,13.216605,12.47,349160.0,-20904.940000000002,-0.05648992309295769
2025-11-12,SZSE.000753,漳州发展,38000,9.76488,9.64,366320.0,-4745.440000000002,-0.01278868762340142
2025-11-12,SZSE.000533,顺钠股份,38300,9.66483,9.43,361169.0,-8993.989000000001,-0.02429737512196283
2025-11-12,SZSE.002759,天际股份,9000,40.82039999999999,46.71,420390.0,53006.40000000008,0.1442808007760828
2025-11-12,SHSE.600078,澄星股份,28900,12.8064,12.06,348534.0,-21570.96000000002,-0.05828335832083963
2025-11-13,SHSE.603978,深圳新星,10500,34.3563,38.61,405405.0,44663.850000000035,0.12381135337623678
2025-11-13,SZSE.000533,顺钠股份,38300,9.66483,10.37,397170.99999999994,27008.01099999994,0.0729624835615317
2025-11-14,SHSE.603131,上海沪工,39600,28.124055,28.38,1123848.0,10135.42200000002,0.009100572445900868
2025-11-14,SZSE.002196,方正电机,74300,15.0075,14.3,1062490.0,-52567.25,-0.047143095119107116
2025-11-17,SHSE.603131,上海沪工,10500,28.02340589820359,28.81,302505.0,8259.238068862294,0.02806918276292864
2025-11-17,SZSE.002256,兆新股份,73700,3.971985,3.85,283745.0,-8990.294500000018,-0.03071134457959943
2025-11-17,SZSE.002309,中利集团,77000,3.801899999999999,3.99,307230.0,14483.70000000007,0.049475262368815845
2025-11-18,SZSE.002451,摩恩电气,32000,13.716855,12.93,413760.0,-25179.360000000044,-0.05736409694496306
2025-11-18,SZSE.002728,特一药业,31900,13.736865,12.75,406725.0,-31480.993499999982,-0.07184062739205775
2025-11-19,SZSE.002317,众生药业,7800,22.821405,22.74,177372.0,-634.9590000000026,-0.0035670459377939406
2025-11-19,SZSE.000833,粤桂股份,8100,22.041015,22.3,180630.0,2097.778499999986,0.011750139455918806
2025-11-19,SZSE.000566,海南海药,23600,7.613805,7.2,169920.0,-9765.79800000001,-0.05434930366616959
2025-11-19,SHSE.600815,厦工股份,42900,4.18209,3.95,169455.0,-9956.660999999993,-0.05549617535729739
2025-11-20,SZSE.000566,海南海药,84700,7.144680354191263,7.92,670824.0,65669.57400000002,0.10851705148067449
2025-11-20,SHSE.600376,首开股份,68400,6.223109999999999,6.0,410400.0,-15260.72399999993,-0.03585184899511643
2025-11-21,SHSE.603232,格尔软件,33900,25.402694999999998,24.59,833601.0,-27550.36049999995,-0.03199247166491581
2025-11-21,SHSE.605255,天普股份,8000,107.0535,108.61,868880.0,12452.0,0.014539459242341447
2025-11-24,SZSE.000566,海南海药,89500,8.054025000000001,7.64,683780.0,-37055.23750000005,-0.05140597403161779
2025-11-24,SHSE.600756,浪潮软件,31000,23.231609999999996,22.59,700290.0,-19889.909999999916,-0.027617973958756942
2025-11-24,SZSE.000547,航天发展,60100,11.98599,13.64,819764.0,99406.00100000005,0.1379952761515737
2025-11-25,SZSE.000566,海南海药,89500,8.054025000000001,8.4,751800.0,30964.762499999953,0.04295678247832599
2025-11-26,SZSE.000681,视觉中国,22600,24.572279999999996,24.32,549632.0,-5701.527999999933,-0.010266853543911963
2025-11-26,SHSE.600685,中船防务,17700,31.465725000000003,29.89,529053.0,-27890.33250000002,-0.05007750496770696
2025-11-26,SHSE.600996,贵广网络,49300,11.285639999999999,11.75,579275.0,22892.94800000009,0.04114609361985691
2025-11-26,SZSE.002279,久其软件,56500,9.84492,9.5,536750.0,-19487.97999999998,-0.03503532786452299
2025-11-27,SZSE.002279,久其软件,120900,9.408535062006763,8.98,1085682.0,-51809.888996617636,-0.045547479940555156
2025-11-27,SZSE.002474,榕基软件,92700,11.995994999999999,11.11,1029897.0,-82131.73649999988,-0.07385756662952918
2025-11-28,SHSE.603906,龙蟠科技,112000,19.50975,20.88,2338560.0,153468.0,0.07023411371237458
2025-12-01,SZSE.000070,特发信息,167900,13.496744999999999,14.19,2382501.0,116397.51450000005,0.051364606799639494
2025-12-03,SHSE.600734,实达集团,204000,5.692845,6.15,1254600.0,93259.61999999988,0.08030343352049799
2025-12-03,SZSE.002519,银河电子,202200,5.74287,6.52,1318344.0,157135.686,0.13532084132149952
2025-12-04,SZSE.002413,雷科防务,95200,8.48424,8.3,790160.0000000001,-17539.647999999812,-0.02171555731568155
2025-12-04,SHSE.603778,国晟科技,65600,12.30615,12.3,806880.0,-403.44000000006054,-0.0004997501249376061
2025-12-04,SHSE.603068,博通集成,20100,40.130055,39.3,789930.0,-16684.105499999947,-0.020684123159063636
2025-12-05,SZSE.002413,雷科防务,96300,8.282990600522194,8.79,846476.9999999999,48825.00516971259,0.061210910881130384
2025-12-05,SZSE.000547,航天发展,43200,18.009,20.57,888624.0,110635.19999999995,0.14220667444055743
2025-12-05,SZSE.000678,襄阳轴承,54000,14.4072,14.59,787860.0,9871.20000000007,0.012688100394247412
2025-12-08,SHSE.603327,福蓉科技,99100,12.296145,13.58,1345778.0,127230.03050000011,0.10441117927610656
2025-12-08,SZSE.002632,道明光学,83800,14.537264999999998,15.67,1313146.0,94923.1930000002,0.07791940230848117
2025-12-09,SHSE.603327,福蓉科技,197500,12.769156168240054,14.53,2869675.0,347766.6567725893,0.13789821414664705
2025-12-10,SHSE.603327,福蓉科技,27700,12.921413158203421,13.48,373396.0,15472.855517765216,0.043229547338012944
2025-12-10,SZSE.000901,航天科技,16200,24.012,23.74,384588.0,-4406.400000000023,-0.0113276694985841
