datetime,cash,holding_value,total_value
2025-06-25,1706430.8484641626,1281168.0,2987598.8484641626
2025-06-26,513783.62966756267,2670740.0,3184523.6296675624
2025-06-27,2802511.560003413,553350.0,3355861.560003413
2025-06-30,1461811.5554086133,2004339.0,3466150.5554086133
2025-07-01,1990384.0389362634,1449270.0,3439654.0389362634
2025-07-02,1051009.8466216135,2381463.0,3432472.8466216135
2025-07-03,2304426.9771929635,1188472.0,3492898.9771929635
2025-07-04,2066489.5549727636,1331988.0,3398477.5549727636
2025-07-07,2046962.250077364,1368613.0,3415575.250077364
2025-07-08,3397699.3888547644,0.0,3397699.3888547644
2025-07-09,2038905.5335558145,1437170.0,3476075.5335558145
2025-07-10,2073231.6187565648,1394001.0,3467232.618756565
2025-07-11,2006560.6837042149,1345240.0,3351800.683704215
2025-07-14,1991426.6094274153,1365975.0,3357401.6094274153
2025-07-15,2366219.1208319655,846752.0,3212971.1208319655
2025-07-16,3191081.9472998655,0.0,3191081.9472998655
2025-07-17,2681016.0658118655,512512.0,3193528.0658118655
2025-07-18,2321244.0714635653,860587.0,3181831.0714635653
2025-07-21,2287710.964636766,833188.0,3120898.964636766
2025-07-22,1874040.977415716,1425028.0,3299068.9774157163
2025-07-23,1852606.244022416,1463871.0,3316477.244022416
2025-07-24,2031866.2554700165,1371515.0,3403381.2554700165
2025-07-25,2001036.821409266,1332546.0,3333582.821409266
2025-07-28,2014393.5545573663,1331725.0,3346118.5545573663
2025-07-29,1968161.6413246165,1365129.0,3333290.6413246165
2025-07-30,1993219.9192580667,1325398.0,3318617.9192580665
2025-07-31,1977329.433942717,1301582.0,3278911.433942717
2025-08-01,666920.5946615671,2811960.0,3478880.5946615674
2025-08-04,2456338.385226118,1012685.0,3469023.385226118
2025-08-05,2069735.984767318,1351267.0,3421002.984767318
2025-08-06,2035740.068148568,1337594.0,3373334.0681485683
2025-08-07,2028233.8086539684,1263150.0,3291383.8086539684
2025-08-08,713232.2151433185,2764054.0,3477286.2151433183
2025-08-11,2887148.190947069,773136.0,3660284.190947069
2025-08-12,1795217.4910054186,2043031.0,3838248.491005419
2025-08-13,1790670.123670019,2104604.0,3895274.123670019
2025-08-14,1685050.3740793192,2157842.0,3842892.374079319
2025-08-15,2634544.173008669,1286574.0,3921118.173008669
2025-08-18,3239681.2621652717,741579.0,3981260.2621652717
2025-08-19,2380105.365803338,1630406.0,4010511.365803338
2025-08-20,2386268.260730448,1625836.0,4012104.260730448
2025-08-21,2571612.882360685,1342203.0,3913815.882360685
2025-08-22,2971212.313729347,992899.0,3964111.313729347
2025-08-25,3989954.758273951,0.0,3989954.758273951
2025-08-26,2396432.1374837207,1568386.0,3964818.1374837207
2025-08-27,2386326.3024732703,1743280.0,4129606.3024732703
2025-08-28,2399212.81021672,1647312.0,4046524.81021672
2025-08-29,2845909.847865048,1118249.0,3964158.847865048
2025-09-01,2845909.847865048,1157196.0,4003105.847865048
2025-09-02,2226261.0263119983,1756319.0,3982580.0263119983
2025-09-03,3946505.346175848,0.0,3946505.346175848
2025-09-04,2368544.058325098,1563358.0,3931902.058325098
2025-09-05,2630583.374305698,1136525.0,3767108.374305698
2025-09-08,3766426.5402930877,0.0,3766426.5402930877
2025-09-09,3766426.5402930877,0.0,3766426.5402930877
2025-09-10,2569713.863568669,1216786.0,3786499.863568669
2025-09-11,2301456.4766385695,1744846.0,4046302.4766385695
2025-09-12,2368809.2583053196,1633335.0,4002144.2583053196
2025-09-15,2337544.9114371696,1572032.0,3909576.9114371696
2025-09-16,2293053.88910482,1609570.0,3902623.88910482
2025-09-17,3874775.36563837,0.0,3874775.36563837
2025-09-18,3874775.36563837,0.0,3874775.36563837
2025-09-19,2328705.2025812203,1467537.0,3796242.2025812203
2025-09-22,1920621.1824558706,2003455.0,3924076.1824558703
2025-09-23,1932421.2227403708,2029581.0,3962002.222740371
2025-09-24,2347609.0346066207,1531310.0,3878919.0346066207
2025-09-25,2326479.586441721,1586818.0,3913297.586441721
2025-09-26,1773071.084248571,1981609.0,3754680.0842485707
2025-09-29,2259574.9158783713,1580491.0,3840065.9158783713
2025-09-30,2310564.9619214213,1544228.0,3854792.9619214213
2025-10-09,3949177.2863012217,0.0,3949177.2863012217
2025-10-10,2388298.242504072,1616572.0,4004870.242504072
2025-10-13,2328218.1103938716,1696219.0,4024437.1103938716
2025-10-14,4063644.3164172713,0.0,4063644.3164172713
2025-10-15,2451593.5854630712,1625693.0,4077286.5854630712
2025-10-16,2398535.0991059216,1634728.0,4033263.0991059216
2025-10-17,3671729.787403872,389880.0,4061609.787403872
2025-10-20,2438240.1331898216,1801567.0,4239807.133189822
2025-10-21,743241.6592907213,3781182.0,4524423.659290722
2025-10-22,4106398.721949522,609070.0,4715468.721949521
2025-10-23,2797534.256980122,1876961.0,4674495.256980122
2025-10-24,2106333.014711472,2407243.0,4513576.014711472
2025-10-27,2724454.8455444225,1845206.0,4569660.845544422
2025-10-28,2698172.527739173,2034280.0,4732452.527739173
2025-10-29,4815903.232489273,0.0,4815903.232489273
2025-10-30,2890534.607878573,2080167.0,4970701.607878573
2025-10-31,2875059.0766235236,2137926.0,5012985.076623524
2025-11-03,2980137.975600824,2194644.0,5174781.975600824
2025-11-04,5204095.911065475,0.0,5204095.911065475
2025-11-05,3131439.959694825,2204465.0,5335904.959694825
2025-11-06,2388761.459066625,2954305.0,5343066.459066626
2025-11-07,2753950.1534651252,2672241.0,5426191.153465126
2025-11-10,2766179.212806375,2791402.0,5557581.212806376
2025-11-11,3292394.184266025,2274351.0,5566745.184266025
2025-11-12,3216314.325992775,2214123.0,5430437.325992775
2025-11-13,4776227.894035275,802576.0,5578803.894035275
2025-11-14,3307109.029068975,2186338.0,5493447.029068975
2025-11-17,4596738.855841725,893480.0,5490218.855841725
2025-11-18,4573839.922348725,820485.0,5394324.922348725
2025-11-19,4626374.535219974,697377.0,5323751.535219974
2025-11-20,4311031.381294424,1081224.0,5392255.381294424
2025-11-21,3703907.542023074,1702481.0,5406388.542023074
2025-11-24,3230901.584488274,2203834.0,5434735.5844882745
2025-11-25,4818068.791894274,751800.0,5569868.791894274
2025-11-26,3371132.258637524,2194710.0,5565842.258637524
2025-11-27,3348132.959820375,2115579.0,5463711.959820375
2025-11-28,3327999.672744225,2338560.0,5666559.672744225
2025-12-01,3324950.906127675,2382501.0,5707451.9061276745
2025-12-02,5808380.078373676,0.0,5808380.078373676
2025-12-03,3485599.129504276,2572944.0,6058543.129504276
2025-12-04,3452443.8249908267,2386970.0,5839413.824990827
2025-12-05,3573331.609178927,2522961.0,6096292.609178927
2025-12-08,3764755.2775020767,2658924.0,6423679.277502077
2025-12-09,3938982.8373728264,2869675.0,6808657.837372826
2025-12-10,3897128.945241976,2789233.0,6686361.9452419765
2025-12-11,3185777.768013526,3500898.0,6686675.768013526
2025-12-12,6293761.0141059775,501499.99999999994,6795261.0141059775
2025-12-15,4070590.6542435773,2664056.0,6734646.654243577
2025-12-16,2594342.7081480767,4112552.0,6706894.708148077
2025-12-17,3324273.2876214767,3203234.0,6527507.287621477
2025-12-18,3506333.883086627,3084955.0,6591288.883086627
2025-12-19,6588661.530495527,0.0,6588661.530495527
2025-12-22,6588661.530495527,0.0,6588661.530495527
2025-12-23,3955182.2589005274,2813020.0,6768202.258900527
2025-12-24,4056750.356544228,2731435.0,6788185.356544228
